type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.89, used 1385, win 56.7%"
"dead-ability","Bahl — Dark Proliferation","only 17 uses"
"ability-too-weak","Paleya — Mass Suggestion","avg value 1.19, used 1766, win 49.9%"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.02, used 2630, win 41.3%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.61, used 1275, win 52.5%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.6, used 1136, win 62%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.51, used 453, win 45.9%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 788, win 45.8%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 2797, win 39.9%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 1083, win 38%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 1155, win 47.1%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 472, win 51.3%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 539, win 41.9%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 455, win 55.6%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 741, win 46.3%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 1717, win 55.2%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 2068, win 47.9%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 572, win 36.7%"
"ability-too-weak","Bakub — False Future","avg value 0, used 350, win 37.1%"
"matchup-dominant","maoja vs bakub","66.4% over 140 games"
"matchup-weak","bakub vs maoja","33.6% over 140 games"
