type,item,note
"ability-too-efficient","Hyafrost — Absolute Zero","avg value 8.83, used 1404, win 49.1%"
"dead-ability","Bahl — Dark Proliferation","only 16 uses"
"ability-too-weak","Kahro — Shadow Mark","avg value 1.02, used 2726, win 56.8%"
"ability-too-weak","Bakub — Nightmare Vial","avg value 0.93, used 1196, win 45.7%"
"ability-too-weak","Yaura — Red Rain","avg value 0.65, used 313, win 32.3%"
"ability-too-weak","Smithen — Frost Pin","avg value 0.61, used 1090, win 58.6%"
"ability-too-weak","Hyafrost — Frostbite","avg value 0.6, used 1613, win 45.8%"
"ability-too-weak","Paleya — Mesmerize","avg value 0.58, used 1226, win 44.6%"
"ability-too-weak","Kahro — Vanish","avg value 0, used 461, win 48.2%"
"ability-too-weak","Yaura — Blood Ward","avg value 0, used 1513, win 24.8%"
"ability-too-weak","Dravain — Protect Ally","avg value 0, used 1293, win 37.9%"
"ability-too-weak","Yaura — Blood Infusion","avg value 0, used 1192, win 31.7%"
"ability-too-weak","Lady Eva — Mist Step","avg value 0, used 651, win 57.3%"
"ability-too-weak","Smithen — Whiteout Step","avg value 0, used 531, win 51.6%"
"ability-too-weak","Poom — Mesmeric Taunt","avg value 0, used 976, win 50.2%"
"ability-too-weak","Maoja — Poison Hands","avg value 0, used 453, win 48.1%"
"ability-too-weak","Bakub — False Future","avg value 0, used 368, win 41%"
"ability-too-weak","K'ku — Ice Guard","avg value 0, used 1260, win 42.1%"
"ability-too-weak","Hyafrost — Frost Armor","avg value 0, used 834, win 43.8%"
"ability-too-weak","Paleya — Mirror Guard","avg value 0, used 573, win 39.8%"
"matchup-dominant","poom vs paleya","68.4% over 136 games"
"matchup-weak","paleya vs poom","31.6% over 136 games"
"matchup-dominant","kahro vs yaura","67.5% over 126 games"
"matchup-weak","yaura vs kahro","32.5% over 126 games"
"matchup-dominant","poom vs bakub","66.9% over 118 games"
"matchup-weak","bakub vs poom","33.1% over 118 games"
"matchup-weak","shaman vs poom","33.9% over 121 games"
"matchup-weak","yaura vs maoja","33.9% over 127 games"
"matchup-dominant","maoja vs yaura","66.1% over 127 games"
"matchup-dominant","poom vs shaman","66.1% over 121 games"
